source_file,constraint_name,from_table,from_columns,to_table,to_columns,match_type
dbo.GL_INTERFACE_ACCT.sql,FKEY0029,GL_INTERFACE_ACCT,GL_ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.GL_INTERFACE_ACCT.sql,FKEY0000,GL_INTERFACE_ACCT,INTERFACE_ID,GL_INTERFACE,ID,ALTER_TABLE_FK
dbo.GL_INTERFACE_ACCT.sql,FKEY0000,GL_INTERFACE_ACCT,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.GOTO_TABLE_COLUMN.sql,FK_GOTO_TABLE_COLUMN_TO_GOTO_VMPGM,GOTO_TABLE_COLUMN,"GOTO_VMPGM_PROGRAM_ID, GOTO_VMPGM_GOTO_ID",GOTO_VMPGM,"PROGRAM_ID, GOTO_ID",ALTER_TABLE_FK
dbo.IBT.sql,FK_IBT_CONT_ID,IBT,CONTACT_ID,CONTACT,ID,ALTER_TABLE_FK
dbo.IBT.sql,FK_IBT_TO_SITE,IBT,CUSTOMER_ID,CUSTOMER,ID,ALTER_TABLE_FK
dbo.IBT.sql,FK_IBT_CONT_ID,IBT,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.IBT.sql,FK_IBT_TO_SITE,IBT,VENDOR_ID,VENDOR,ID,ALTER_TABLE_FK
dbo.IBT_LINE.sql,FKEY9540,IBT_LINE,IBT_ID,IBT,ID,ALTER_TABLE_FK
dbo.IBT_LINE_BINARY.sql,FKEY9546,IBT_LINE_BINARY,"IBT_ID, IBT_LINE_NO",IBT_LINE,"IBT_ID, LINE_NO",ALTER_TABLE_FK
dbo.IBT_RECEIVER.sql,FK_IBT_REC_CONT_ID,IBT_RECEIVER,CONTACT_ID,CONTACT,ID,ALTER_TABLE_FK
dbo.IBT_RECEIVER.sql,FK_IBT_RECEIVER_TO_SITE,IBT_RECEIVER,IBT_ID,IBT,ID,ALTER_TABLE_FK
dbo.IBT_RECEIVER.sql,FK_IBT_REC_CONT_ID,IBT_RECEIVER,SHIPPER_ID,IBT_SHIPPER,SHIPPER_ID,ALTER_TABLE_FK
dbo.IBT_RECEIVER.sql,FK_IBT_RECEIVER_00,IBT_RECEIVER,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.IBT_RECEIVER_LINE.sql,FK_IBT_RECEIVER_LINE_00,IBT_RECEIVER_LINE,RECEIVER_ID,IBT_RECEIVER,ID,ALTER_TABLE_FK
dbo.IBT_RECEIVER_LINE.sql,FK_IBT_RECEIVER_LINE_00,IBT_RECEIVER_LINE,SHIPPER_ID,IBT_SHIPPER,SHIPPER_ID,ALTER_TABLE_FK
dbo.IBT_SHIPPER.sql,FK_IBT_SHIPPER_TO_SITE,IBT_SHIPPER,CONTACT_ID,CONTACT,ID,ALTER_TABLE_FK
dbo.IBT_SHIPPER.sql,FK_IBT_SHP_CONT_ID,IBT_SHIPPER,IBT_ID,IBT,ID,ALTER_TABLE_FK
dbo.IBT_SHIPPER.sql,FK_IBT_SHIPPER_TO_SITE,IBT_SHIPPER,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.IBT_SHIPPER_LINE.sql,FKEY9492,IBT_SHIPPER_LINE,SHIPPER_ID,IBT_SHIPPER,SHIPPER_ID,ALTER_TABLE_FK
dbo.INBOX_ERROR.sql,FK_INBOX_ERROR_TO_INBOX,INBOX_ERROR,C_INBOX_ID,COR_INBOX_ENTRY,C_ID,ALTER_TABLE_FK
dbo.INDIRECT.sql,FKEY0255,INDIRECT,GL_ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.INDIRECT_DETAIL.sql,FKEY9010,INDIRECT_DETAIL,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.INDIRECT_DETAIL.sql,FKEY9010,INDIRECT_DETAIL,TRANSACTION_ID,LABOR_TICKET,TRANSACTION_ID,ALTER_TABLE_FK
dbo.INDIRECT_DIST.sql,FKEY0199,INDIRECT_DIST,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.INDIRECT_DIST.sql,FKEY0012,INDIRECT_DIST,GL_ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.INDIRECT_DIST.sql,FK_INDDST_BATCH,INDIRECT_DIST,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.INDIRECT_DIST.sql,FK_INDDST_BATCH,INDIRECT_DIST,"SITE_ID, BATCH_ID",JOURNAL_BATCH,"SITE_ID, ID",ALTER_TABLE_FK
